currency_code,sub_total,schedule_next_scheduled_date,schedule_period,schedule_unit,schedule_due_date,schedule_due_date_type
USD,420.0,44994.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,324.0,44928.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,408.0,44969.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,372.0,44997.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,372.0,45002.0,3.0,MONTHLY,14.0,DAYSAFTERBILLDATE
USD,372.0,44938.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,432.0,44946.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,399.0,44967.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44940.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44995.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44974.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44931.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44940.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44977.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44982.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,45050.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44953.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44940.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44986.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,45049.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44940.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44984.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44942.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,297.0,45052.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,387.0,44981.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,198.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,225.0,44974.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,225.0,45003.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,225.0,45003.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,225.0,44987.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,225.0,44992.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,225.0,44976.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,225.0,44934.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,345.0,44943.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,345.0,44979.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,345.0,44954.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,189.0,45002.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,297.0,44948.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,297.0,44984.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,297.0,45001.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,297.0,44968.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,297.0,45020.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,297.0,45048.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,297.0,45001.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,297.0,45000.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,297.0,45049.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,297.0,45022.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,297.0,45047.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,297.0,44967.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,297.0,45008.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,147.0,45001.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,147.0,44940.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,147.0,45047.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,147.0,44939.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,147.0,44987.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,147.0,44948.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,147.0,44946.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,147.0,44982.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,147.0,44944.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,240.0,44987.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,147.0,45008.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,345.0,44956.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,360.0,44972.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44992.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,45004.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,45000.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44981.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,45013.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44982.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,45021.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44945.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,45000.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,45006.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44937.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44974.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44995.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44982.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44948.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44940.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,45048.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44980.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44974.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,45021.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44976.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44980.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44948.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44956.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44933.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,45014.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,45000.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44965.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44952.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,45008.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44960.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44967.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44947.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,45005.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44970.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44934.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,45014.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44939.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,45047.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44967.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44977.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44984.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44953.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,150.0,44984.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,270.0,44965.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,270.0,45049.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,270.0,45048.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,270.0,44955.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,270.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,270.0,44973.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,270.0,44944.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,270.0,45008.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,270.0,45015.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,270.0,45050.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,270.0,44967.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,270.0,44964.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,270.0,45010.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,270.0,44953.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,270.0,44995.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,270.0,45005.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,270.0,44991.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
