currency_code,sub_total,schedule_next_scheduled_date,schedule_period,schedule_unit,schedule_due_date,schedule_due_date_type
GBP,195.0,44928.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,1470.0,44928.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,960.0,44928.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,105.0,44928.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,540.0,44928.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,525.0,44928.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,750.0,44928.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,750.0,44928.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,360.0,44929.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,540.0,44929.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,285.0,44929.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,525.0,44929.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,105.0,44929.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,285.0,44929.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,105.0,44929.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,285.0,44930.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,270.0,44930.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,495.0,44930.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,495.0,44930.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,450.0,44930.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,825.0,44930.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,105.0,44930.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,105.0,44930.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,105.0,44930.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,270.0,44930.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,690.0,44930.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,270.0,44930.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,105.0,44930.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,1020.0,44930.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,270.0,44930.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,105.0,44931.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,360.0,44931.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,750.0,44931.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
USD,22162.56,44931.0,1.0,MONTHLY,14.0,DAYSAFTERBILLDATE
GBP,195.0,44931.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,750.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,270.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,360.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,540.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,105.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,105.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,285.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,495.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,195.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,105.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,360.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,195.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,270.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,195.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,2580.0,44932.0,12.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,195.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,285.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,195.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,960.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,270.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,495.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,105.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,180.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,105.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,540.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,285.0,44932.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,540.0,44933.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,645.0,44933.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,810.0,44933.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,855.0,44933.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,450.0,44933.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,495.0,44933.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,465.0,44933.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,180.0,44933.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,810.0,44933.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,750.0,44933.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,540.0,44933.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,420.0,44933.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,270.0,44933.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,210.0,44933.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,210.0,44933.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,195.0,44933.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,915.0,44933.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,405.0,44933.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,180.0,44933.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,105.0,44933.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,525.0,44933.0,3.0,MONTHLY,14.0,DAYSAFTERBILLDATE
GBP,360.0,44933.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,360.0,44934.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,750.0,44934.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,285.0,44934.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,450.0,44934.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,825.0,44934.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,3300.0,44934.0,12.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,270.0,44934.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,270.0,44934.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,180.0,44934.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,105.0,44934.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,1380.0,44934.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,180.0,44934.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,180.0,44934.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,270.0,44934.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,3255.0,44935.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,360.0,44935.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,1485.0,44935.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,1335.0,44935.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,105.0,44935.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,2175.0,44935.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,570.0,44935.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,1245.0,44935.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,210.0,44936.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,495.0,44936.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,585.0,44936.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,810.0,44936.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,810.0,44936.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,525.0,44936.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,525.0,44936.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,1440.0,44936.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,750.0,44936.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,105.0,44936.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,285.0,44936.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,105.0,44936.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,885.0,44936.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,420.0,44937.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,1590.0,44937.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,40.0,44937.0,1.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,540.0,44937.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,180.0,44937.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,195.0,44937.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,195.0,44937.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,195.0,44937.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,105.0,44937.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,105.0,44937.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,270.0,44937.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,2160.0,44938.0,12.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,645.0,44938.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,420.0,44938.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,855.0,44938.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,810.0,44938.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,180.0,44938.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,825.0,44938.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,540.0,44938.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,195.0,44938.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,195.0,44938.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,105.0,44938.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,105.0,44938.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,29.0,44938.0,1.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,285.0,44938.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,285.0,44938.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,270.0,44938.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,105.0,44938.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,180.0,44939.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,495.0,44939.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,300.0,44939.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,360.0,44939.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,2010.0,44939.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,810.0,44939.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,240.0,44939.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,15950.0,44939.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,2010.0,44939.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,1320.0,44939.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,540.0,44939.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,270.0,44939.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,960.0,44939.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,195.0,44939.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,165.0,44939.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,270.0,44939.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,195.0,44939.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,210.0,44939.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,300.0,44940.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,1455.0,44940.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,270.0,44940.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,180.0,44940.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,465.0,44940.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,540.0,44940.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,570.0,44940.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,180.0,44940.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,180.0,44940.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,105.0,44940.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
GBP,195.0,44940.0,3.0,MONTHLY,7.0,DAYSAFTERBILLDATE
