currency_code,sub_total,schedule_next_scheduled_date,schedule_period,schedule_unit,schedule_due_date,schedule_due_date_type
USD,240,2023-03-04 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,180,2023-01-20 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-01-05 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-05-04 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-01-26 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-01-05 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-02-23 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-02-09 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-02-15 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-02-28 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-01-09 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-01-10 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-03-30 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-02-18 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-03-16 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-05-01 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-03-18 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-03-01 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-05-02 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-03-02 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-01-26 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-01-26 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-01-18 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-03-16 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-05-04 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-02-09 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-05-02 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-01-10 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-03-17 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-03-30 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-01-24 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-03-30 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-01-16 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-02-27 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-03-11 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-03-08 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-02-10 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-05-03 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-01-11 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-02-19 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-01-23 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-05-04 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-02-17 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-02-28 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,240,2023-03-17 00:00:00,3,MONTHLY,14,DAYSAFTERBILLDATE
USD,300,2023-03-15 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,360,2023-01-04 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,360,2023-01-15 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,360,2023-01-06 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
USD,360,2023-02-14 00:00:00,3,MONTHLY,7,DAYSAFTERBILLDATE
