current_date,amount_in_bank
2023-06-06 00:00:00,79671.0
2023-06-07 00:00:00,79671.0
2023-06-08 00:00:00,80151.0
2023-06-09 00:00:00,81003.0
2023-06-10 00:00:00,81003.0
2023-06-11 00:00:00,81243.0
2023-06-12 00:00:00,81243.0
2023-06-13 00:00:00,81513.0
2023-06-14 00:00:00,82248.0
2023-06-15 00:00:00,82488.0
2023-06-16 00:00:00,83268.0
2023-06-17 00:00:00,83928.0
2023-06-18 00:00:00,84168.0
2023-06-19 00:00:00,84540.0
2023-06-20 00:00:00,84540.0
2023-06-21 00:00:00,84540.0
2023-06-22 00:00:00,85587.0
2023-06-23 00:00:00,86808.0
2023-06-24 00:00:00,87237.0
2023-06-25 00:00:00,87927.0
2023-06-26 00:00:00,88077.0
2023-06-27 00:00:00,88497.0
2023-06-28 00:00:00,89007.0
2023-06-29 00:00:00,89007.0
2023-06-30 00:00:00,89871.0
2023-07-01 00:00:00,90903.0
2023-07-02 00:00:00,91173.0
2023-07-03 00:00:00,91173.0
2023-07-04 00:00:00,91533.0
2023-07-05 00:00:00,91683.0
2023-07-06 00:00:00,91983.0
2023-07-07 00:00:00,92973.0
2023-07-08 00:00:00,92973.0
2023-07-09 00:00:00,93297.0
2023-07-10 00:00:00,93297.0
2023-07-11 00:00:00,94314.0
2023-07-12 00:00:00,95334.0
2023-07-13 00:00:00,96849.0
2023-07-14 00:00:00,96999.0
2023-07-15 00:00:00,97374.0
2023-07-16 00:00:00,97614.0
2023-07-17 00:00:00,98094.0
2023-07-18 00:00:00,99204.0
2023-07-19 00:00:00,99576.0
2023-07-20 00:00:00,100233.0
2023-07-21 00:00:00,101490.0
2023-07-22 00:00:00,101850.0
2023-07-23 00:00:00,102330.0
2023-07-24 00:00:00,102675.0
2023-07-25 00:00:00,103332.0
2023-07-26 00:00:00,103482.0
2023-07-27 00:00:00,104601.0
2023-07-28 00:00:00,104751.0
2023-07-29 00:00:00,105495.0
2023-07-30 00:00:00,106095.0
2023-07-31 00:00:00,106335.0
2023-08-01 00:00:00,106335.0
2023-08-02 00:00:00,107205.0
2023-08-03 00:00:00,108225.0
2023-08-04 00:00:00,108930.0
2023-08-05 00:00:00,109200.0
2023-08-06 00:00:00,109695.0
2023-08-07 00:00:00,109695.0
2023-08-08 00:00:00,110529.0
2023-08-09 00:00:00,112086.0
2023-08-10 00:00:00,113283.0
2023-08-11 00:00:00,114513.0
2023-08-12 00:00:00,114513.0
2023-08-13 00:00:00,114810.0
2023-08-14 00:00:00,115080.0
2023-08-15 00:00:00,115500.0
2023-08-16 00:00:00,115980.0
2023-08-17 00:00:00,117846.0
2023-08-18 00:00:00,118143.0
2023-08-19 00:00:00,118551.0
2023-08-20 00:00:00,118701.0
2023-08-21 00:00:00,119421.0
2023-08-22 00:00:00,120021.0
2023-08-23 00:00:00,120651.0
2023-08-24 00:00:00,122016.0
2023-08-25 00:00:00,122256.0
2023-08-26 00:00:00,122871.0
2023-08-27 00:00:00,123621.0
2023-08-28 00:00:00,123621.0
2023-08-29 00:00:00,124686.0
2023-08-30 00:00:00,125586.0
2023-08-31 00:00:00,126123.0
2023-09-01 00:00:00,126810.0
2023-09-02 00:00:00,127170.0
2023-09-03 00:00:00,128247.0
2023-09-04 00:00:00,129087.0
2023-09-05 00:00:00,129087.0
2023-09-06 00:00:00,129087.0
2023-09-07 00:00:00,129087.0
2023-09-08 00:00:00,129567.0
2023-09-09 00:00:00,130419.0
2023-09-10 00:00:00,130419.0
2023-09-11 00:00:00,130659.0
2023-09-12 00:00:00,130659.0
2023-09-13 00:00:00,130929.0
2023-09-14 00:00:00,131664.0
2023-09-15 00:00:00,131904.0
2023-09-16 00:00:00,132684.0
2023-09-17 00:00:00,133344.0
2023-09-18 00:00:00,133584.0
2023-09-19 00:00:00,133956.0
2023-09-20 00:00:00,133956.0
2023-09-21 00:00:00,133956.0
2023-09-22 00:00:00,135003.0
2023-09-23 00:00:00,136224.0
2023-09-24 00:00:00,136653.0
2023-09-25 00:00:00,137343.0
2023-09-26 00:00:00,137493.0
2023-09-27 00:00:00,137913.0
2023-09-28 00:00:00,138423.0
2023-09-29 00:00:00,138423.0
2023-09-30 00:00:00,139287.0
2023-10-01 00:00:00,140319.0
2023-10-02 00:00:00,140589.0
2023-10-03 00:00:00,140589.0
2023-10-04 00:00:00,140949.0
2023-10-05 00:00:00,141099.0
2023-10-06 00:00:00,141399.0
2023-10-07 00:00:00,142389.0
2023-10-08 00:00:00,142389.0
2023-10-09 00:00:00,142713.0
2023-10-10 00:00:00,142713.0
2023-10-11 00:00:00,143730.0
2023-10-12 00:00:00,144750.0
2023-10-13 00:00:00,146265.0
2023-10-14 00:00:00,146415.0
2023-10-15 00:00:00,146790.0
2023-10-16 00:00:00,147030.0
2023-10-17 00:00:00,147510.0
2023-10-18 00:00:00,148620.0
2023-10-19 00:00:00,148992.0
2023-10-20 00:00:00,149649.0
2023-10-21 00:00:00,150906.0
2023-10-22 00:00:00,151266.0
2023-10-23 00:00:00,151746.0
2023-10-24 00:00:00,152091.0
2023-10-25 00:00:00,152748.0
2023-10-26 00:00:00,152898.0
2023-10-27 00:00:00,154017.0
2023-10-28 00:00:00,154167.0
2023-10-29 00:00:00,154911.0
2023-10-30 00:00:00,155511.0
2023-10-31 00:00:00,155751.0
2023-11-01 00:00:00,155751.0
2023-11-02 00:00:00,156621.0
2023-11-03 00:00:00,157641.0
2023-11-04 00:00:00,158346.0
2023-11-05 00:00:00,158616.0
