current_date,amount_in_bank
2023-06-27 00:00:00,947799.72
2023-06-28 00:00:00,950786.72
2023-06-29 00:00:00,953760.72
2023-06-30 00:00:00,957303.72
2023-07-01 00:00:00,961509.72
2023-07-02 00:00:00,961779.72
2023-07-03 00:00:00,961779.72
2023-07-04 00:00:00,962139.72
2023-07-05 00:00:00,974313.72
2023-07-06 00:00:00,976746.72
2023-07-07 00:00:00,978827.72
2023-07-08 00:00:00,981306.72
2023-07-09 00:00:00,989927.57
2023-07-10 00:00:00,994223.72
2023-07-11 00:00:00,1004404.52
2023-07-12 00:00:00,1008842.82
2023-07-13 00:00:00,1021295.17
2023-07-14 00:00:00,1035892.47
2023-07-15 00:00:00,1045815.62
2023-07-16 00:00:00,1061284.52
2023-07-17 00:00:00,1073303.42
2023-07-18 00:00:00,1082500.47
2023-07-19 00:00:00,1121791.69
2023-07-20 00:00:00,1158094.09
2023-07-21 00:00:00,1170336.69
2023-07-22 00:00:00,1175602.34
2023-07-23 00:00:00,1177963.34
2023-07-24 00:00:00,1180094.34
2023-07-25 00:00:00,1183630.34
2023-07-26 00:00:00,1186756.34
2023-07-27 00:00:00,1190354.34
2023-07-28 00:00:00,1192981.34
2023-07-29 00:00:00,1196202.34
2023-07-30 00:00:00,1199776.34
2023-07-31 00:00:00,1202695.34
2023-08-01 00:00:00,1202695.34
2023-08-02 00:00:00,1206739.34
2023-08-03 00:00:00,1207759.34
2023-08-04 00:00:00,1208464.34
2023-08-05 00:00:00,1208734.34
2023-08-06 00:00:00,1221253.34
2023-08-07 00:00:00,1223386.34
2023-08-08 00:00:00,1225311.34
2023-08-09 00:00:00,1229347.34
2023-08-10 00:00:00,1232328.34
2023-08-11 00:00:00,1235142.34
2023-08-12 00:00:00,1237221.34
2023-08-13 00:00:00,1239202.34
2023-08-14 00:00:00,1240760.34
2023-08-15 00:00:00,1243561.34
2023-08-16 00:00:00,1246818.34
2023-08-17 00:00:00,1250961.34
2023-08-18 00:00:00,1253584.54
2023-08-19 00:00:00,1284658.16
2023-08-20 00:00:00,1289273.16
2023-08-21 00:00:00,1293068.16
2023-08-22 00:00:00,1295650.16
2023-08-23 00:00:00,1298658.16
2023-08-24 00:00:00,1301904.16
2023-08-25 00:00:00,1303930.16
2023-08-26 00:00:00,1307424.16
2023-08-27 00:00:00,1311150.16
2023-08-28 00:00:00,1313629.16
2023-08-29 00:00:00,1317171.16
2023-08-30 00:00:00,1320548.16
2023-08-31 00:00:00,1324059.16
2023-09-01 00:00:00,1327425.16
2023-09-02 00:00:00,1327785.16
2023-09-03 00:00:00,1332036.16
2023-09-04 00:00:00,1332876.16
2023-09-05 00:00:00,1332876.16
2023-09-06 00:00:00,1332876.16
2023-09-07 00:00:00,1344900.16
2023-09-08 00:00:00,1347513.16
