current_date,amount_in_bank
2023-06-04 00:00:00,192275.0
2023-06-05 00:00:00,192275.0
2023-06-06 00:00:00,193366.0
2023-06-07 00:00:00,194754.0
2023-06-08 00:00:00,195249.0
2023-06-09 00:00:00,196338.0
2023-06-10 00:00:00,197328.0
2023-06-11 00:00:00,198022.0
2023-06-12 00:00:00,198616.0
2023-06-13 00:00:00,200403.0
2023-06-14 00:00:00,201492.0
2023-06-15 00:00:00,202680.0
2023-06-16 00:00:00,203868.0
2023-06-17 00:00:00,206050.0
2023-06-18 00:00:00,208333.0
2023-06-19 00:00:00,209125.0
2023-06-20 00:00:00,210315.0
2023-06-21 00:00:00,211503.0
2023-06-22 00:00:00,212196.0
2023-06-23 00:00:00,213289.0
2023-06-24 00:00:00,215075.0
2023-06-25 00:00:00,216265.0
2023-06-26 00:00:00,217554.0
2023-06-27 00:00:00,218742.0
2023-06-28 00:00:00,220031.0
2023-06-29 00:00:00,221617.0
2023-06-30 00:00:00,222710.0
2023-07-01 00:00:00,224197.0
2023-07-02 00:00:00,224197.0
2023-07-03 00:00:00,224197.0
2023-07-04 00:00:00,224197.0
2023-07-05 00:00:00,230730.0
2023-07-06 00:00:00,230730.0
2023-07-07 00:00:00,231821.0
2023-07-08 00:00:00,233209.0
2023-07-09 00:00:00,233704.0
2023-07-10 00:00:00,234793.0
2023-07-11 00:00:00,235783.0
2023-07-12 00:00:00,236477.0
2023-07-13 00:00:00,237071.0
2023-07-14 00:00:00,238858.0
2023-07-15 00:00:00,239947.0
2023-07-16 00:00:00,241135.0
2023-07-17 00:00:00,242323.0
2023-07-18 00:00:00,244505.0
2023-07-19 00:00:00,246788.0
2023-07-20 00:00:00,247580.0
2023-07-21 00:00:00,248770.0
2023-07-22 00:00:00,249958.0
2023-07-23 00:00:00,250651.0
2023-07-24 00:00:00,251744.0
2023-07-25 00:00:00,253530.0
2023-07-26 00:00:00,254720.0
2023-07-27 00:00:00,256009.0
2023-07-28 00:00:00,257197.0
2023-07-29 00:00:00,258486.0
2023-07-30 00:00:00,260072.0
2023-07-31 00:00:00,261165.0
2023-08-01 00:00:00,261165.0
2023-08-02 00:00:00,262652.0
2023-08-03 00:00:00,262652.0
2023-08-04 00:00:00,262652.0
2023-08-05 00:00:00,262652.0
2023-08-06 00:00:00,269185.0
2023-08-07 00:00:00,269185.0
2023-08-08 00:00:00,270276.0
2023-08-09 00:00:00,271664.0
2023-08-10 00:00:00,272159.0
2023-08-11 00:00:00,273248.0
2023-08-12 00:00:00,274238.0
2023-08-13 00:00:00,274932.0
2023-08-14 00:00:00,275526.0
2023-08-15 00:00:00,277313.0
2023-08-16 00:00:00,278402.0
2023-08-17 00:00:00,279590.0
2023-08-18 00:00:00,280778.0
2023-08-19 00:00:00,282960.0
2023-08-20 00:00:00,285243.0
2023-08-21 00:00:00,286035.0
2023-08-22 00:00:00,287225.0
2023-08-23 00:00:00,288413.0
2023-08-24 00:00:00,289106.0
2023-08-25 00:00:00,290199.0
2023-08-26 00:00:00,291985.0
2023-08-27 00:00:00,293175.0
2023-08-28 00:00:00,294464.0
2023-08-29 00:00:00,295652.0
2023-08-30 00:00:00,296941.0
2023-08-31 00:00:00,298527.0
2023-09-01 00:00:00,299620.0
2023-09-02 00:00:00,299620.0
2023-09-03 00:00:00,301107.0
2023-09-04 00:00:00,301107.0
2023-09-05 00:00:00,301107.0
2023-09-06 00:00:00,301107.0
2023-09-07 00:00:00,307640.0
2023-09-08 00:00:00,307640.0
2023-09-09 00:00:00,308731.0
2023-09-10 00:00:00,310119.0
2023-09-11 00:00:00,310614.0
2023-09-12 00:00:00,311703.0
2023-09-13 00:00:00,312693.0
2023-09-14 00:00:00,313387.0
2023-09-15 00:00:00,313981.0
2023-09-16 00:00:00,315768.0
2023-09-17 00:00:00,316857.0
2023-09-18 00:00:00,318045.0
2023-09-19 00:00:00,319233.0
2023-09-20 00:00:00,321415.0
2023-09-21 00:00:00,323698.0
2023-09-22 00:00:00,324490.0
2023-09-23 00:00:00,325680.0
2023-09-24 00:00:00,326868.0
2023-09-25 00:00:00,327561.0
2023-09-26 00:00:00,328654.0
2023-09-27 00:00:00,330440.0
2023-09-28 00:00:00,331630.0
2023-09-29 00:00:00,332919.0
2023-09-30 00:00:00,334107.0
2023-10-01 00:00:00,336982.0
2023-10-02 00:00:00,338075.0
2023-10-03 00:00:00,338075.0
2023-10-04 00:00:00,339562.0
2023-10-05 00:00:00,339562.0
2023-10-06 00:00:00,339562.0
2023-10-07 00:00:00,339562.0
2023-10-08 00:00:00,346095.0
2023-10-09 00:00:00,346095.0
2023-10-10 00:00:00,347186.0
2023-10-11 00:00:00,348574.0
2023-10-12 00:00:00,349069.0
2023-10-13 00:00:00,350158.0
2023-10-14 00:00:00,351148.0
2023-10-15 00:00:00,351842.0
2023-10-16 00:00:00,352436.0
2023-10-17 00:00:00,354223.0
2023-10-18 00:00:00,355312.0
2023-10-19 00:00:00,356500.0
2023-10-20 00:00:00,357688.0
2023-10-21 00:00:00,359870.0
2023-10-22 00:00:00,362153.0
2023-10-23 00:00:00,362945.0
2023-10-24 00:00:00,364135.0
2023-10-25 00:00:00,365323.0
2023-10-26 00:00:00,366016.0
2023-10-27 00:00:00,367109.0
2023-10-28 00:00:00,368895.0
2023-10-29 00:00:00,370085.0
2023-10-30 00:00:00,371374.0
2023-10-31 00:00:00,372562.0
2023-11-01 00:00:00,372562.0
2023-11-02 00:00:00,375437.0
2023-11-03 00:00:00,376530.0
2023-11-04 00:00:00,376530.0
2023-11-05 00:00:00,378017.0
2023-11-06 00:00:00,378017.0
2023-11-07 00:00:00,378017.0
2023-11-08 00:00:00,378017.0
2023-11-09 00:00:00,384550.0
2023-11-10 00:00:00,384550.0
2023-11-11 00:00:00,385641.0
2023-11-12 00:00:00,387029.0
2023-11-13 00:00:00,387524.0
